20160324012229|6y|0901|1|03/24/2016|04/24/2016|1|0|Expired
20160329213847|6y|0503|1|04/01/2016|04/29/2016|1|1|Checked-In
20160323002204|lol|0401|1|04/06/2016|12/13/2016|1|1|Expired
20160323153005|lol|0803|1|04/06/2016|04/06/2016|1|1|Checked-In
20160407195217|cherry123|0201|1|04/13/2016|04/15/2016|1|0|Checked-In
20160323153006|dl|0903|1|04/16/2016|04/21/2016|1|1|Checked-In
20160323153007|dl|0904|2|04/16/2016|04/22/2016|1|1|Checked-In
20160414000000|2w|0302|1|04/16/2016|04/20/2016|1|1|Waitlist
20160414000001|cherry123|0802|1|04/16/2016|04/21/2016|1|0|Checked-In
20160414000002|lol|0505|1|05/25/2016|05/30/2016|1|1|Waitlist
